#Digilent WaveForms Oscilloscope Acquisition
#Device Name: ADP3250
#Serial Number: SN:210018B20085
#Date Time: 2022-10-17 11:51:00.580.520.830
#Sample rate: 3000.03Hz
#Samples: 30000
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 200 mV/div Offset: -240 mV Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 100 mHz
#Period: 10 s
#Amplitude: 2.5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 Åã

20220601FeCo_zero field
Time (s),Channel 1 (V),Channel 2 (V)
-4.99995,0.3550015615969423,0.08997084570348471
-4.99961667,0.3533363628669017,0.0891812149005459
-4.99928334,0.3558341609619626,0.08911541233363435
-4.99895001,0.3541689622319235,0.0899379444200291
-4.99861668,0.3550015615969408,0.09003664827039611
-4.99828335,0.3533363628669017,0.0917804162935528
-4.99795002,0.354168962231922,0.09105658805752556
-4.99761669,0.3525037635018815,0.08901670848326698
-4.99728336,0.3533363628669017,0.08924701746745747
-4.99695003,0.3525037635018815,0.09085918035679086
-4.9966167,0.3533363628669017,0.08970763543583564
-4.99628337,0.3533363628669017,0.08816127511341944
-4.99595004,0.3525037635018815,0.08888510334944386
-4.99561671,0.3525037635018815,0.09187912014392013
-4.99528338,0.3508385647718409,0.08891800463289964
-4.99495005,0.3516711641368612,0.08891800463289964
-4.99461672,0.3508385647718424,0.09079337778987605
-4.994283390000001,0.3516711641368597,0.08901670848327022
-4.99395006,0.3508385647718424,0.0884573866645197
-4.99361673,0.3508385647718409,0.09016825340421941
-4.9932834,0.3500059654068206,0.09056306880568882
-4.99295007,0.3500059654068206,0.09013535212076362
-4.99261674,0.3500059654068206,0.08825997896378399
-4.99228341,0.3500059654068206,0.08829288024724286
-4.991950080000001,0.3500059654068206,0.09000374698693739
-4.99161675,0.3491733660418003,0.08839158409760711
-4.99128342,0.3500059654068206,0.09046436495532145
-4.99095009,0.34834076667678,0.08885220206598807
-4.99061676,0.34834076667678,0.08997084570348471
-4.99028343,0.3491733660418003,0.08888510334944386
-4.9899501,0.3491733660417973,0.08842448538106649
-4.98961677,0.3475081673117628,0.09039856238840631
-4.98928344,0.3475081673117598,0.09082627907333507
-4.98895011,0.34834076667678,0.08951022773510375
-4.98861678,0.34834076667678,0.08983924056966158
-4.98828345,0.34834076667678,0.08990504313657313
-4.98795012,0.3475081673117598,0.08987214185311737
-4.98761679,0.348340766676777,0.08908251105017952
-4.98728346,0.3466755679467425,0.08960893158547013
-4.98695013,0.3475081673117598,0.09131979832517181
-4.9866168,0.3466755679467395,0.08967473415238267
-4.98628347,0.34834076667678,0.08806257126304928
-4.98595014,0.3458429685817192,0.08891800463289964
-4.98561681,0.3458429685817192,0.09118819319134527
-4.985283480000001,0.3458429685817192,0.08931282003437246
-4.98495015,0.3450103692167004,0.08934572131782478
-4.98461682,0.3466755679467395,0.09056306880568882
-4.98428349,0.3450103692166989,0.09043146367186566
-4.98395016,0.3450103692166989,0.09148430474245076
-4.98361683,0.3450103692166989,0.09089208164024665
-4.9832835,0.3450103692166974,0.08977343800274858
-4.982950170000001,0.3441777698516801,0.08898380719981266
-4.98261684,0.3441777698516786,0.0921752316950222
-4.98228351,0.3450103692166989,0.09043146367186566
-4.98195018,0.3441777698516786,0.09026695725458675
-4.98161685,0.3450103692166989,0.0913526996086276
-4.98128352,0.3441777698516786,0.09148430474245076
